cat_id,num_images,has_info,extensions
cat_226815,12,True,"['.png', '.jpg']"
cat_226825,12,True,"['.png', '.jpg']"
cat_226835,12,True,"['.png', '.jpg']"
cat_226840,12,True,"['.png', '.jpg']"
cat_226855,12,True,"['.png', '.jpg']"
cat_226860,12,True,"['.png', '.jpg']"
cat_226865,12,True,"['.png', '.jpg']"
cat_226875,12,True,"['.png', '.jpg']"
cat_226880,12,True,"['.png', '.jpg']"
cat_226885,12,True,"['.png', '.jpg']"
cat_226890,12,True,"['.png', '.jpg']"
cat_226895,12,True,"['.png', '.jpg']"
cat_226900,12,True,"['.png', '.jpg']"
cat_226905,12,True,"['.png', '.jpg']"
cat_226910,12,True,"['.png', '.jpg']"
cat_226915,12,True,"['.png', '.jpg']"
cat_226920,12,True,"['.png', '.jpg']"
cat_226925,12,True,"['.png', '.jpg']"
cat_226935,12,True,"['.png', '.jpg']"
cat_226940,12,True,"['.png', '.jpg']"
cat_226945,12,True,"['.png', '.jpg']"
cat_226950,12,True,"['.png', '.jpg']"
cat_226955,12,True,"['.png', '.jpg']"
cat_226965,12,True,"['.png', '.jpg']"
cat_226970,12,True,"['.png', '.jpg']"
cat_226975,12,True,"['.png', '.jpg']"
cat_226985,12,True,"['.png', '.jpg']"
cat_226990,12,True,"['.png', '.jpg']"
